subject,region,grade_class,year,grade,degree_type
翻译、新闻与传播、出版,A类,总分,2010,345,专硕
翻译、新闻与传播、出版,A类,单科=100分,2010,50,专硕
翻译、新闻与传播、出版,A类,单科>100分,2010,75,专硕
翻译、新闻与传播、出版,A类,总分,2011,355,专硕
翻译、新闻与传播、出版,A类,单科=100分,2011,55,专硕
翻译、新闻与传播、出版,A类,单科>100分,2011,83,专硕
翻译、新闻与传播、出版,A类,总分,2012,345,专硕
翻译、新闻与传播、出版,A类,单科=100分,2012,52,专硕
翻译、新闻与传播、出版,A类,单科>100分,2012,78,专硕
翻译、新闻与传播、出版,A类,总分,2013,350,专硕
翻译、新闻与传播、出版,A类,单科=100分,2013,54,专硕
翻译、新闻与传播、出版,A类,单科>100分,2013,81,专硕
翻译、新闻与传播、出版,A类,总分,2014,350,专硕
翻译、新闻与传播、出版,A类,单科=100分,2014,55,专硕
翻译、新闻与传播、出版,A类,单科>100分,2014,83,专硕
翻译、新闻与传播、出版,A类,总分,2015,345,专硕
翻译、新闻与传播、出版,A类,单科=100分,2015,52,专硕
翻译、新闻与传播、出版,A类,单科>100分,2015,78,专硕
翻译、新闻与传播、出版,A类,总分,2016,350,专硕
翻译、新闻与传播、出版,A类,单科=100分,2016,53,专硕
翻译、新闻与传播、出版,A类,单科>100分,2016,80,专硕
翻译、新闻与传播、出版,A类,总分,2017,345,专硕
翻译、新闻与传播、出版,A类,单科=100分,2017,53,专硕
翻译、新闻与传播、出版,A类,单科>100分,2017,80,专硕
翻译、新闻与传播、出版,A类,总分,2018,345,专硕
翻译、新闻与传播、出版,A类,单科=100分,2018,55,专硕
翻译、新闻与传播、出版,A类,单科>100分,2018,83,专硕
翻译、新闻与传播、出版,A类,总分,2019,355,专硕
翻译、新闻与传播、出版,A类,单科=100分,2019,51,专硕
翻译、新闻与传播、出版,A类,单科>100分,2019,77,专硕
翻译、新闻与传播、出版,B类,总分,2010,335,专硕
翻译、新闻与传播、出版,B类,单科=100分,2010,47,专硕
翻译、新闻与传播、出版,B类,单科>100分,2010,71,专硕
翻译、新闻与传播、出版,B类,总分,2011,345,专硕
翻译、新闻与传播、出版,B类,单科=100分,2011,53,专硕
翻译、新闻与传播、出版,B类,单科>100分,2011,80,专硕
翻译、新闻与传播、出版,B类,总分,2012,335,专硕
翻译、新闻与传播、出版,B类,单科=100分,2012,49,专硕
翻译、新闻与传播、出版,B类,单科>100分,2012,74,专硕
翻译、新闻与传播、出版,B类,总分,2013,340,专硕
翻译、新闻与传播、出版,B类,单科=100分,2013,51,专硕
翻译、新闻与传播、出版,B类,单科>100分,2013,77,专硕
翻译、新闻与传播、出版,B类,总分,2014,340,专硕
