subject,region,grade_class,year,grade,degree_type
文学,B类,单科>100分,2015,74,学硕
文学,A类,总分,2016,350,学硕
文学,A类,单科=100分,2016,53,学硕
文学,A类,单科>100分,2016,80,学硕
文学,B类,总分,2016,340,学硕
文学,B类,单科=100分,2016,50,学硕
文学,B类,单科>100分,2016,75,学硕
文学,A类,总分,2017,345,学硕
文学,A类,单科=100分,2017,53,学硕
文学,A类,单科>100分,2017,80,学硕
文学,B类,总分,2017,335,学硕
文学,B类,单科=100分,2017,50,学硕
文学,B类,单科>100分,2017,75,学硕
文学,A类,总分,2018,345,学硕
文学,A类,单科=100分,2018,55,学硕
文学,A类,单科>100分,2018,83,学硕
文学,B类,总分,2018,335,学硕
文学,B类,单科=100分,2018,52,学硕
文学,B类,单科>100分,2018,78,学硕
文学,A类,总分,2019,355,学硕
文学,A类,单科=100分,2019,51,学硕
文学,A类,单科>100分,2019,77,学硕
文学,B类,总分,2019,345,学硕
文学,B类,单科=100分,2019,48,学硕
文学,B类,单科>100分,2019,72,学硕
文学,A类,总分,2020,355,学硕
文学,A类,单科=100分,2020,52,学硕
文学,A类,单科>100分,2020,78,学硕
文学,B类,总分,2020,345,学硕
文学,B类,单科=100分,2020,49,学硕
文学,B类,单科>100分,2020,74,学硕
历史学,A类,总分,2005,315,学硕
历史学,A类,单科=100分,2005,48,学硕
历史学,A类,单科>100分,2005,72,学硕
历史学,B类,总分,2005,310,学硕
历史学,B类,单科=100分,2005,46,学硕
历史学,B类,单科>100分,2005,69,学硕
历史学,A类,总分,2006,315,学硕
历史学,A类,单科=100分,2006,48,学硕
历史学,A类,单科>100分,2006,72,学硕
历史学,B类,总分,2006,310,学硕
历史学,B类,单科=100分,2006,46,学硕
历史学,B类,单科>100分,2006,69,学硕
历史学,A类,总分,2007,290,学硕
历史学,A类,单科=100分,2007,41,学硕
历史学,A类,单科>100分,2007,123,学硕
历史学,B类,总分,2007,285,学硕
历史学,B类,单科=100分,2007,39,学硕
历史学,B类,单科>100分,2007,117,学硕
历史学,A类,总分,2008,280,学硕
历史学,A类,单科=100分,2008,39,学硕
历史学,A类,单科>100分,2008,117,学硕
历史学,B类,总分,2008,270,学硕
历史学,B类,单科=100分,2008,35,学硕
历史学,B类,单科>100分,2008,105,学硕
历史学,A类,总分,2009,290,学硕
历史学,A类,单科=100分,2009,40,学硕
历史学,A类,单科>100分,2009,120,学硕
历史学,B类,总分,2009,280,学硕
历史学,B类,单科=100分,2009,37,学硕
历史学,B类,单科>100分,2009,111,学硕
历史学,A类,总分,2010,275,学硕
历史学,A类,单科=100分,2010,36,学硕
历史学,A类,单科>100分,2010,108,学硕
历史学,B类,总分,2010,265,学硕
历史学,B类,单科=100分,2010,33,学硕
历史学,B类,单科>100分,2010,99,学硕
历史学,A类,总分,2011,295,学硕
历史学,A类,单科=100分,2011,40,学硕
历史学,A类,单科>100分,2011,120,学硕
历史学,B类,总分,2011,285,学硕
历史学,B类,单科=100分,2011,38,学硕
历史学,B类,单科>100分,2011,114,学硕
历史学,A类,总分,2012,285,学硕
历史学,A类,单科=100分,2012,38,学硕
历史学,A类,单科>100分,2012,114,学硕
历史学,B类,总分,2012,275,学硕
历史学,B类,单科=100分,2012,35,学硕
历史学,B类,单科>100分,2012,105,学硕
历史学,A类,总分,2013,295,学硕
历史学,A类,单科=100分,2013,40,学硕
历史学,A类,单科>100分,2013,120,学硕
历史学,B类,总分,2013,285,学硕
历史学,B类,单科=100分,2013,37,学硕
历史学,B类,单科>100分,2013,111,学硕
历史学,A类,总分,2014,310,学硕
历史学,A类,单科=100分,2014,42,学硕
历史学,A类,单科>100分,2014,126,学硕
历史学,B类,总分,2014,300,学硕
历史学,B类,单科=100分,2014,39,学硕
历史学,B类,单科>100分,2014,117,学硕
历史学,A类,总分,2015,300,学硕
历史学,A类,单科=100分,2015,42,学硕
历史学,A类,单科>100分,2015,126,学硕
历史学,B类,总分,2015,290,学硕
历史学,B类,单科=100分,2015,39,学硕
历史学,B类,单科>100分,2015,117,学硕
历史学,A类,总分,2016,315,学硕
历史学,A类,单科=100分,2016,44,学硕
历史学,A类,单科>100分,2016,132,学硕
历史学,B类,总分,2016,305,学硕
历史学,B类,单科=100分,2016,41,学硕
历史学,B类,单科>100分,2016,123,学硕
历史学,A类,总分,2017,315,学硕
历史学,A类,单科=100分,2017,45,学硕
历史学,A类,单科>100分,2017,135,学硕
历史学,B类,总分,2017,305,学硕
历史学,B类,单科=100分,2017,42,学硕
历史学,B类,单科>100分,2017,126,学硕
历史学,A类,总分,2018,315,学硕
历史学,A类,单科=100分,2018,43,学硕
历史学,A类,单科>100分,2018,129,学硕
历史学,B类,总分,2018,305,学硕
历史学,B类,单科=100分,2018,40,学硕
历史学,B类,单科>100分,2018,120,学硕
历史学,A类,总分,2019,325,学硕
历史学,A类,单科=100分,2019,44,学硕
历史学,A类,单科>100分,2019,132,学硕
历史学,B类,总分,2019,315,学硕
历史学,B类,单科=100分,2019,41,学硕
历史学,B类,单科>100分,2019,123,学硕
历史学,A类,总分,2020,324,学硕
历史学,A类,单科=100分,2020,44,学硕
历史学,A类,单科>100分,2020,132,学硕
历史学,B类,总分,2020,314,学硕
历史学,B类,单科=100分,2020,41,学硕
历史学,B类,单科>100分,2020,123,学硕
理学,A类,总分,2005,305,学硕
理学,A类,单科=100分,2005,47,学硕
理学,A类,单科>100分,2005,71,学硕
理学,B类,总分,2005,300,学硕
理学,B类,单科=100分,2005,45,学硕
理学,B类,单科>100分,2005,68,学硕
理学,A类,总分,2006,305,学硕
理学,A类,单科=100分,2006,46,学硕
理学,A类,单科>100分,2006,69,学硕
理学,B类,总分,2006,300,学硕
理学,B类,单科=100分,2006,44,学硕
理学,B类,单科>100分,2006,66,学硕
理学,A类,总分,2007,305,学硕
理学,A类,单科=100分,2007,49,学硕
理学,A类,单科>100分,2007,74,学硕
理学,B类,总分,2007,300,学硕
理学,B类,单科=100分,2007,47,学硕
理学,B类,单科>100分,2007,71,学硕
理学,A类,总分,2008,300,学硕
理学,A类,单科=100分,2008,47,学硕
理学,A类,单科>100分,2008,71,学硕
理学,B类,总分,2008,290,学硕
理学,B类,单科=100分,2008,43,学硕
理学,B类,单科>100分,2008,65,学硕
理学,A类,总分,2009,280,学硕
理学,A类,单科=100分,2009,38,学硕
理学,A类,单科>100分,2009,57,学硕
理学,B类,总分,2009,270,学硕
理学,B类,单科=100分,2009,35,学硕
理学,B类,单科>100分,2009,53,学硕
理学,A类,总分,2010,280,学硕
理学,A类,单科=100分,2010,37,学硕
理学,A类,单科>100分,2010,56,学硕
理学,B类,总分,2010,270,学硕
理学,B类,单科=100分,2010,34,学硕
理学,B类,单科>100分,2010,51,学硕
理学,A类,总分,2011,295,学硕
理学,A类,单科=100分,2011,40,学硕
理学,A类,单科>100分,2011,60,学硕
理学,B类,总分,2011,285,学硕
理学,B类,单科=100分,2011,38,学硕
理学,B类,单科>100分,2011,57,学硕
理学,A类,总分,2012,290,学硕
理学,A类,单科=100分,2012,38,学硕
理学,A类,单科>100分,2012,57,学硕
理学,B类,总分,2012,280,学硕
理学,B类,单科=100分,2012,35,学硕
理学,B类,单科>100分,2012,53,学硕
理学,A类,总分,2013,290,学硕
理学,A类,单科=100分,2013,39,学硕
理学,A类,单科>100分,2013,59,学硕
理学,B类,总分,2013,280,学硕
理学,B类,单科=100分,2013,36,学硕
理学,B类,单科>100分,2013,54,学硕
理学,A类,总分,2014,285,学硕
理学,A类,单科=100分,2014,38,学硕
理学,A类,单科>100分,2014,57,学硕
理学,B类,总分,2014,275,学硕
理学,B类,单科=100分,2014,35,学硕
理学,B类,单科>100分,2014,53,学硕
理学,A类,总分,2015,275,学硕
理学,A类,单科=100分,2015,36,学硕
理学,A类,单科>100分,2015,54,学硕
理学,B类,总分,2015,265,学硕
理学,B类,单科=100分,2015,33,学硕
理学,B类,单科>100分,2015,50,学硕
理学,A类,总分,2016,285,学硕
理学,A类,单科=100分,2016,39,学硕
理学,A类,单科>100分,2016,59,学硕
理学,B类,总分,2016,275,学硕
理学,B类,单科=100分,2016,36,学硕
理学,B类,单科>100分,2016,54,学硕
理学,A类,总分,2017,290,学硕
理学,A类,单科=100分,2017,39,学硕
理学,A类,单科>100分,2017,59,学硕
理学,B类,总分,2017,280,学硕
理学,B类,单科=100分,2017,36,学硕
理学,B类,单科>100分,2017,54,学硕
理学,A类,总分,2018,280,学硕
理学,A类,单科=100分,2018,38,学硕
理学,A类,单科>100分,2018,57,学硕
理学,B类,总分,2018,270,学硕
理学,B类,单科=100分,2018,35,学硕
理学,B类,单科>100分,2018,53,学硕
理学,A类,总分,2019,290,学硕
理学,A类,单科=100分,2019,41,学硕
理学,A类,单科>100分,2019,62,学硕
理学,B类,总分,2019,280,学硕
理学,B类,单科=100分,2019,38,学硕
理学,B类,单科>100分,2019,57,学硕
理学,A类,总分,2020,288,学硕
理学,A类,单科=100分,2020,40,学硕
理学,A类,单科>100分,2020,60,学硕
理学,B类,总分,2020,278,学硕
理学,B类,单科=100分,2020,37,学硕
理学,B类,单科>100分,2020,56,学硕
工学,A类,总分,2005,290,学硕
工学,A类,单科=100分,2005,44,学硕
工学,A类,单科>100分,2005,66,学硕
